Company,Valuation ($B),Date Joined,Country,City ,Industry,Investors
EcoVadis,1.0,2022-06-14,France,Paris,"Supply chain, logistics, & delivery","Astorg Partners, Princeville Global, Beyond Net Zero"
TransferMate,1.0,2022-05-22,Ireland,Kilkenny,Fintech,Railway Pension Trustee Co. Ltd.
MindMaze,1.0,2016-01-28,Switzerland,Lausanne,Health,Hinduja Group
HMD Global,1.0,2018-05-21,Finland,Espoo,Mobile & telecommunications,Ginko Ventures
Omio,1.0,2018-10-23,Germany,Berlin,Travel,"Lakestar, Battery Ventures, New Enterprise Associates"
BitFury,1.0,2018-11-06,Netherlands,Amsterdam,Hardware,"Georgian Co-Investment Fund, iTech Capital, Galaxy Digital"
Ynsect,1.0,2019-02-21,France,Evry,Other,"Astanor Ventures, Upfront Ventures, IDInvest Partners"
Meero,1.0,2019-06-18,France,Paris,Artificial intelligence,"Aglae Ventures, Global Founders Capital, Alven Capital"
Numbrs,1.0,2019-08-22,Switzerland,Zurich,Fintech,"Investment Corporation of Dubai, Centralway"
Hotmart,1.0,2020-03-17,Netherlands,Amsterdam,E-commerce & direct-to-consumer,"Technology Crossover Ventures, Alkeon Capital Management, General Atlantic"
Infobip,1.0,2020-07-30,Croatia,Vodnjan,Mobile & telecommunications,One Equity Partners
Gousto,1.7,2020-11-03,United Kingdom,London,"Supply chain, logistics, & delivery","MMC Ventures, BGF Ventures, Unilever Ventures"
PPRO,1.0,2021-01-19,United Kingdom,London,Fintech,"Wellington Management, Eurazeo, Citi Ventures"
SaltPay,1.0,2021-04-09,United Kingdom,London,Fintech,"Tiger Global Management, Hedosophia"
Shift Technology,1.0,2021-05-06,France,Paris,Artificial intelligence,"Griffin Gaming Partners, Andreessen Horowitz, Battery Ventures"
LetsGetChecked,1.0,2021-06-07,Ireland,Dublin,Health,"Optum Ventures, Qiming Venture Partners, Transformation Capital"
Tractable,1.0,2021-06-16,United Kingdom,London,Artificial intelligence,"Insight Partners, Ignition Partners, Georgian Partners"
Gelato,1.0,2021-08-16,Norway,Oslo,E-commerce & direct-to-consumer,"Greylock Partners, Google Ventures, BlackRock"
